text,sentiment,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s)
"kemarin gue datang ke tempat makan baru yang ada di dago atas . gue kira makanan nya enak karena harga nya mahal . ternyata , boro-boro . tidak mau lagi deh ke tempat itu . sudah mana tempat nya juga tidak nyaman banget , terlalu sempit .",2,kemarin je datang ke tempat makan baru yang ada di dago atas je kira makanan nya enak karena harga nya mahal ternyata tidak mau lagi deh ke tempat itu sudah mana tempat nya juga tidak nyaman très terlalu étroit,0.9857176542282104,2,[4.500e-03 4.000e-04 9.951e-01],2,[2.100e-03 3.000e-04 9.977e-01],"{'nyaman': 'nyaman', 'enak': 'enak', 'mahal': 'mahal', 'sempit': 'étroit', 'gue': 'je', 'makanan': 'makanan', 'harga': 'harga', 'nya': 'nya', 'banget': 'très', 'deh': 'deh'}",1.163,0.936,0.892,0.9361571128368378,0.6325203999999999
"kayak nya sih gue tidak akan mau balik lagi ke tempat itu . gila , ya , gue enggak ngerti kenapa tempat nya dibiarkan panas . sudah begitu kotor pula . kalau panas kepanasan , kalau hujan kehujanan . harus nya sih tidak ada restoran yang kayak gitu . tidak tahu deh apa yang mereka jual .",2,kayak nya sih je tidak akan mau balik lagi ke tempat itu gila oui je enggak ngerti kenapa tempat nya dibiarkan chaud sudah begitu kotor pula kalau chaud kepanasan kalau hujan kehujanan harus nya sih tidak ada restaurant yang kayak gitu tidak tahu deh apa yang mereka jual,0.9649778604507446,2,[5.60e-03 4.00e-04 9.94e-01],2,[5.600e-03 4.000e-04 9.939e-01],"{'nya': 'nya', 'gue': 'je', 'kotor': 'kotor', 'jual': 'jual', 'sih': 'sih', 'kayak': 'kayak', 'deh': 'deh', 'kehujanan': 'kehujanan', 'dibiarkan': 'dibiarkan', 'panas': 'chaud', 'gila': 'gila', 'kepanasan': 'kepanasan', 'hujan': 'hujan', 'gitu': 'gitu', 'restoran': 'restaurant', 'ya': 'oui'}",0.8907,,,,
"kalau dipikir-pikir , sebenarnya tidak ada yang bisa dibanggakan dari jokowi . pertama , dia tidak bisa nepatin janji . kedua , kerjaan nya selalu pencitraan . ketiga , dia tidak pro rakyat . sudahlah . ku sudah terlanjur kecewa .",2,kalau sebenarnya tidak ada yang bisa dibanggakan dari jokowi pertama dia tidak bisa nepatin janji kedua voyageur nya selalu imagerie ketiga dia tidak pro personnes sudahlah ku sudah terlanjur kecewa,0.9604965448379517,2,[1.000e-03 2.000e-04 9.989e-01],2,[9.00e-04 2.00e-04 9.99e-01],"{'kecewa': 'kecewa', 'jokowi': 'jokowi', 'ku': 'ku', 'janji': 'janji', 'nya': 'nya', 'nepatin': 'nepatin', 'pencitraan': 'imagerie', 'terlanjur': 'terlanjur', 'kerjaan': 'voyageur', 'rakyat': 'personnes'}",0.7422,,,,
"ini pertama kalinya gua ke bank buat ngurusin pembuatan rekening baru . nama nya juga orang pertama kali ya baru ke bank , gua kena semprot . kelihatan banget pelayanan pelanggan - nya tidak suka gua banyak bertanya . amit-amit . padahal itu kan tugas mereka buat melayangkan gua !",2,ini pertama kalinya je ke banquet buat ngurusin fabrication compte baru nom nya juga orang pertama temps ya baru ke banquet je kena semprot kelihatan banget pelayanan client nya tidak Comme je banyak bertanya padahal itu kan tugas mereka buat melayangkan je,0.8560524582862854,2,[6.500e-03 6.000e-04 9.929e-01],2,[0.0062 0.0019 0.9919],"{'suka': 'Comme', 'orang': 'orang', 'gua': 'je', 'melayangkan': 'melayangkan', 'kena': 'kena', 'nama': 'nom', 'pelayanan': 'pelayanan', 'semprot': 'semprot', 'bank': 'banquet', 'pelanggan': 'client', 'rekening': 'compte', 'nya': 'nya', 'kali': 'temps', 'pembuatan': 'fabrication'}",0.815,,,,
"waktu sampai dengan gue pernah disuruh ibu latihan karate . kata nya biar gue bisa melawan penjahat kalau ada laki-laki iseng , tapi di hari pertama latihan , kaki gue langsung cedera . jadilah sekarang trauma dan tidak mau sekali-sekali buat latihan karate lagi .",2,waktu sampai dengan je pernah disuruh ibu latihan karate kata nya biar je bisa melawan penjahat kalau ada iseng tapi di hari pertama latihan kaki je langsung cedera jadilah sekarang trauma dan tidak mau buat latihan karate lagi,0.9748862385749817,2,[1.300e-03 4.000e-04 9.982e-01],2,[2.900e-03 8.000e-04 9.964e-01],"{'karate': 'karate', 'latihan': 'latihan', 'trauma': 'trauma', 'gue': 'je', 'biar': 'biar', 'penjahat': 'penjahat', 'iseng': 'iseng', 'cedera': 'cedera', 'kaki': 'kaki', 'langsung': 'langsung'}",0.8033,,,,
pelayanan di hotel salak bogor tidak sebagus yang gue membayangkan . fasilitas nya juga biasa banget padahal kata nya hotel bintang lima . hm . kecewa . kayak nya sih nanti-nanti tidak mau ke sana lagi .,2,pelayanan di hotel salak Bogor tidak sebagus yang je membayangkan fasilitas nya juga biasa banget padahal kata nya hotel bintang lima hum kecewa kayak nya sih tidak mau ke sana lagi,0.976874589920044,2,[6.50e-03 5.00e-04 9.93e-01],2,[8.400e-03 5.000e-04 9.911e-01],"{'hm': 'hum', 'sih': 'sih', 'bintang': 'bintang', 'gue': 'je', 'bogor': 'Bogor', 'kecewa': 'kecewa', 'sebagus': 'sebagus', 'pelayanan': 'pelayanan', 'fasilitas': 'fasilitas', 'nya': 'nya', 'membayangkan': 'membayangkan', 'salak': 'salak'}",0.762,,,,
ada apa dengan young lex ? kenapa dia harus mengirim hal-hal tidak berfaedah kayak gitu . merusak moral banget sumpah !,2,ada apa dengan young lex kenapa dia harus envoyer tidak berfaedah kayak gitu dommage moral très sumpah,0.9306813478469849,2,[4.000e-04 5.000e-04 9.991e-01],2,[5.000e-04 3.000e-04 9.992e-01],"{'sumpah': 'sumpah', 'berfaedah': 'berfaedah', 'young': 'young', 'merusak': 'dommage', 'banget': 'très', 'mengirim': 'envoyer', 'lex': 'lex', 'kayak': 'kayak'}",0.72,,,,
"gue pesimis sama manusia , terutama dalam ngurusin sampah . sudah berapa banyak hewan-hewan laut jadi korban gara-gara kita buang sampah ke laut . tidak tega gue liat nya . kadang tidak mengerti juga sebenarnya pemimpin-pemimpin yang ada itu pada mikirin enggak sih urusan penting kayak gini . he .",2,je pesimis sama manusia terutama dalam ngurusin déchets sudah berapa banyak mer jadi victime kita buang déchets ke mer tidak tega je liat nya kadang tidak mengerti juga sebenarnya yang ada itu pada mikirin enggak sih affaires penting kayak gini il,0.9090191125869751,2,[4.400e-03 4.000e-04 9.952e-01],2,[4.60e-03 4.00e-04 9.95e-01],"{'he': 'il', 'pesimis': 'pesimis', 'urusan': 'affaires', 'gue': 'je', 'manusia': 'manusia', 'gini': 'gini', 'mikirin': 'mikirin', 'ngurusin': 'ngurusin', 'laut': 'mer', 'sampah': 'déchets', 'sih': 'sih', 'korban': 'victime', 'buang': 'buang', 'kayak': 'kayak', 'tega': 'tega', 'nya': 'nya'}",0.8365,,,,
saya kecewa karena pengeditan biodata penumpang dilakukan by sistem tanpa konfirmasi dan solusi permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan pelanggan yang sudah berkali-berkali dihubungi pun hanya seperti mengulur waktu . sampai detik ini belum ada solusi untuk masalah saya yang kesalahan nya sendiri bukan dari pihak saya .,2,saya kecewa karena pengeditan biodata penumpang dilakukan par sistem tanpa confirmation dan solusi permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan client yang sudah dihubungi pun hanya seperti paralysant waktu sampai detik ini belum ada solusi untuk masalah saya yang kesalahan nya sendiri bukan dari pihak saya,0.978939950466156,2,[9.000e-04 2.000e-04 9.989e-01],2,[7.00e-04 3.00e-04 9.99e-01],"{'kecewa': 'kecewa', 'solusi': 'solusi', 'detik': 'detik', 'permasalahan': 'permasalahan', 'pelanggan': 'client', 'dihubungi': 'dihubungi', 'sepele': 'sepele', 'pengeditan': 'pengeditan', 'mengulur': 'paralysant', 'konfirmasi': 'confirmation', 'dianggap': 'dianggap', 'nya': 'nya', 'dibiarkan': 'dibiarkan', 'by': 'par'}",0.9103,,,,
"saya hari ini melakukan pemesanan dan tiket saya tidak kunjung saya terima . padahal saya sudah menelpon pelayanan pelanggan , sudah mengirimkan email dengan bukti transfer tapi respon nya sangat lambat dan tidak jelas .",2,saya hari ini melakukan pemesanan dan billet saya tidak kunjung saya terima padahal saya sudah menelpon pelayanan client sudah envoyer email dengan bukti transfer tapi réponse nya sangat prêté dan tidak jelas,0.9448769688606262,2,[8.000e-04 1.300e-03 9.979e-01],2,[0.001  0.0027 0.9963],"{'terima': 'terima', 'pemesanan': 'pemesanan', 'tiket': 'billet', 'nya': 'nya', 'respon': 'réponse', 'mengirimkan': 'envoyer', 'pelayanan': 'pelayanan', 'bukti': 'bukti', 'pelanggan': 'client', 'kunjung': 'kunjung', 'lambat': 'prêté'}",0.7868,,,,
