label,tweet,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s)
2,"Pixy ini kok lama-lama gemesim yaaaa. Setelah jatuh cinta sama lip cream nya, kayak nya bakal jatih cinta sama yang lain. Huft [URL]",Pixy ini kok gemesim Setelah jatuh tresna sama lip cream kayak nya bakal jatih tresna sama yang Huft,0.9203024506568909,2,[9.900e-03 7.000e-04 9.767e-01 8.800e-03 3.900e-03],2,[0.0177 0.0018 0.7863 0.008  0.1863],"{'gemesim': 'gemesim', 'cinta': 'tresna', 'jatuh': 'jatuh', 'cream': 'cream', 'huft': 'huft', 'kayak': 'kayak'}",0.5436,0.7613636363636364,0.6659090909090909,0.9409459999339147,0.5143702272727273
3,Penyakit hepatitis B 100x lebih infeksius dari HIV/AIDS Duhh serem! Dan belum ada obatnya.,Penyakit hepatitis B 100x lebih infèksius dari Duhh Dan belum ada,0.916824460029602,3,[0.0039 0.0035 0.0034 0.9881 0.0013],3,[0.1718 0.0588 0.0326 0.7008 0.036 ],"{'infeksius': 'infèksius', 'hepatitis': 'hepatitis', 'penyakit': 'penyakit'}",0.1091,,,,
3,[USERNAME] [USERNAME] [USERNAME] Gw lebih khawatir lg kalo Ahok jd jurkamnya Jokowi bro. Nemo movement malah berbalik jd ikon punya Jokowi. Persis kejadian 212 yg jd panggung Jkw,Gw lebih khawatir lg yen Ahok jd jurkamnya Jokowi Nemo movement malah berbalik jd ikon punya Persis kejadian 212 yg jd panggung Jkw,0.8590551018714905,3,[0.0044 0.0154 0.0026 0.9762 0.0014],3,[0.0142 0.0715 0.0045 0.9057 0.0041],"{'jd': 'jd', 'jokowi': 'jokowi', 'ikon': 'ikon', 'yg': 'yg', 'kejadian': 'kejadian', 'nemo': 'nemo', 'kalo': 'yen', 'movement': 'movement'}",0.3155,,,,
1,"Kemerdekaan adalah hak segala bangsa ...( Kec Yahudi,Kurdi , Catalonia , Koptik ) sbgmn kita menutup mata terhadap Penjajahan Yaman dan Qatar.Artinya standart ganda ...",Kemerdekaan adalah hak segala bangsa Kec Catalonia Koptik asmn kita menutup mata terhadap Penjajahan Yaman dan standart ganda,0.9647358655929565,1,[0.115  0.8392 0.003  0.0375 0.0053],1,[0.2219 0.6771 0.0079 0.0718 0.0213],"{'yaman': 'yaman', 'kec': 'kec', 'catalonia': 'catalonia', 'penjajahan': 'penjajahan', 'koptik': 'Koptik', 'kemerdekaan': 'kemerdekaan', 'sbgmn': 'asmn'}",0.4485,,,,
4,"Selamat pak [USERNAME] resmi jadi bapak, sekedar saran sering sering si jagoan dikasih dengar lagu YNWA sama tonton pertandingan Liverpool... Biar ngerti sejarah dan kesetiaan haha",Selamat pak resmi jadi sekedar saran sering sering si jagoan dikasih dengar tembang YNWA sama tonton pertandingan Biar ngerti sajarah dan kesetiaan haha,0.9320791959762573,4,[0.0035 0.0016 0.0225 0.0011 0.9713],4,[0.0044 0.0017 0.022  0.0012 0.9706],"{'selamat': 'selamat', 'haha': 'haha', 'sekedar': 'sekedar', 'saran': 'saran', 'sejarah': 'sajarah', 'pertandingan': 'pertandingan', 'resmi': 'resmi', 'tonton': 'tonton', 'jagoan': 'jagoan', 'lagu': 'tembang'}",0.4152,,,,
0,"Pas aktip di ig merasa twitter ini tempat melarikan diri. Pas lbh sering mencuit, merasa ig itu mall... aku dangkal, butuh hingar, mau di pasar",Pas aktip di ig merasa twitter ini tempat melarikan Pas lbh sering merasa ig itu aku butuh mau di pasar,0.9480686187744141,0,[9.858e-01 8.600e-03 8.000e-04 2.900e-03 1.800e-03],0,[0.9712 0.0019 0.0089 0.0039 0.0141],"{'ig': 'ig', 'lbh': 'lbh', 'pas': 'lulus', 'pasar': 'pasar', 'melarikan': 'melarikan'}",0.4473,,,,
1,Awal nonton cuma 4 orang tenang bgt.. 25 menit film berjalan dan begitu masuk segerombolan alayers lansung bising nya gak ketolong..,Awal nonton cuma 4 orang tenang bgt.. 25 menit film berjalan dan begitu masuk segerombolan alayers lansung bising nya gak ketolong..,1.0,4,[0.0077 0.0024 0.0071 0.002  0.9809],4,[0.0077 0.0024 0.0071 0.002  0.9809],,0.06,,,,
0,"Bukan gw yang ga mau ikut bukber, tapi dompet yang protes ""bukber mulu lu gw ga di isi isi, dompet gendutin, badan lu kurusin jangan kebalik"" Oke sip besok ku lembur baghai qhuda","Bukan gw yang ga mau ikut bukber, tapi dompet yang protes ""bukber mulu lu gw ga di isi isi, dompet gendutin, badan lu kurusin jangan kebalik"" Oke sip besok ku lembur baghai qhuda",1.0,1,[0.0574 0.9365 0.0016 0.0022 0.0023],1,[0.0574 0.9365 0.0016 0.0022 0.0023],,0.21,,,,
3,jadi takut buat nikah...buat punya anak...takut kalo saya nikah saya ga bisa bahagiain pasangan...takut kalo punya anak nanti saya banding bandingin...,jadi takut buat punya yen saya nikah saya ga bisa bahagiain yen punya anak nanti saya banding,0.8997325897216797,3,[1.700e-03 2.600e-03 3.100e-03 9.917e-01 9.000e-04],3,[0.0064 0.0108 0.0075 0.9731 0.0022],"{'ga': 'ga', 'kalo': 'yen', 'banding': 'banding', 'nikah': 'nikah'}",0.417,,,,
4,"BTW, salut dengan siapapun yang bikin ad Tokopedia yang cerita masa lalu seseorang tentang nabung buat makan udang. Dengan narasi yang cukup simple tapi bisa langsung ngena ke gua emotionally. Well done",salut karo siapapun yang bikin ad Tokopedia yang cerita masa lalu seseorang tentang nabung buat mangan Dengan narasi yang cukup simple tapi bisa langsung ngena ke gua Well rampung,0.9546211957931519,4,[9.300e-03 1.200e-03 1.350e-02 8.000e-04 9.753e-01],4,[0.018  0.0014 0.0141 0.0011 0.9655],"{'done': 'rampung', 'simple': 'simple', 'salut': 'salut', 'gua': 'gua', 'cerita': 'cerita', 'tokopedia': 'tokopedia', 'makan': 'mangan', 'ad': 'ad', 'dengan': 'karo'}",0.5324,,,,
