text,sentiment,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s)
"kemarin gue datang ke tempat makan baru yang ada di dago atas . gue kira makanan nya enak karena harga nya mahal . ternyata , boro-boro . tidak mau lagi deh ke tempat itu . sudah mana tempat nya juga tidak nyaman banget , terlalu sempit .",2,kemarin je datang ke tempat makan baru yang ada di dago atas je kira makanan nya enak karena harga nya mahal ternyata tidak mau lagi deh ke tempat itu sudah mana tempat nya juga tidak nyaman très terlalu sempit,0.9868431091308594,2,[4.900e-03 3.000e-04 9.948e-01],2,[1.390e-02 6.000e-04 9.855e-01],"{'nyaman': 'nyaman', 'banget': 'très', 'gue': 'je'}",1.2052,0.946,0.906,0.9832288999557495,0.6601805999999999
"kayak nya sih gue tidak akan mau balik lagi ke tempat itu . gila , ya , gue enggak ngerti kenapa tempat nya dibiarkan panas . sudah begitu kotor pula . kalau panas kepanasan , kalau hujan kehujanan . harus nya sih tidak ada restoran yang kayak gitu . tidak tahu deh apa yang mereka jual .",2,kayak nya sih gue tidak akan mau balik lagi ke tempat itu gila ya gue enggak ngerti kenapa tempat nya dibiarkan panas sudah begitu kotor pula kalau panas kepanasan kalau hujan kehujanan harus nya sih tidak ada restoran yang kayak gitu tidak tahu deh apa yang mereka jual,1.0,2,[5.200e-03 3.000e-04 9.944e-01],2,[9.600e-03 8.000e-04 9.896e-01],"{'jual': 'jual', 'nya': 'nya', 'kehujanan': 'kehujanan', 'deh': 'deh'}",0.8796,,,,
"kalau dipikir-pikir , sebenarnya tidak ada yang bisa dibanggakan dari jokowi . pertama , dia tidak bisa nepatin janji . kedua , kerjaan nya selalu pencitraan . ketiga , dia tidak pro rakyat . sudahlah . ku sudah terlanjur kecewa .",2,kalau sebenarnya tidak ada yang bisa dibanggakan dari jokowi pertama dia tidak bisa nepatin janji kedua kerjaan nya selalu pencitraan ketiga dia tidak pro rakyat sudahlah ku sudah terlanjur kecewa,0.9936076402664185,2,[2.400e-03 2.000e-04 9.975e-01],2,[3.900e-03 2.000e-04 9.959e-01],"{'kecewa': 'kecewa', 'terlanjur': 'terlanjur'}",0.7498,,,,
"ini pertama kalinya gua ke bank buat ngurusin pembuatan rekening baru . nama nya juga orang pertama kali ya baru ke bank , gua kena semprot . kelihatan banget pelayanan pelanggan - nya tidak suka gua banyak bertanya . amit-amit . padahal itu kan tugas mereka buat melayangkan gua !",2,ini pertama kalinya je ke bank buat ngurusin pembuatan rekening baru nom nya juga orang pertama kali ya baru ke bank je kena semprot kelihatan banget pelayanan pelanggan nya tidak suka je banyak bertanya padahal itu kan tugas mereka buat melayangkan je,0.9590117931365967,2,[0.0054 0.001  0.9937],2,[0.0085 0.0015 0.99  ],"{'orang': 'orang', 'nama': 'nom', 'pelayanan': 'pelayanan', 'gua': 'je'}",0.8467,,,,
"waktu sampai dengan gue pernah disuruh ibu latihan karate . kata nya biar gue bisa melawan penjahat kalau ada laki-laki iseng , tapi di hari pertama latihan , kaki gue langsung cedera . jadilah sekarang trauma dan tidak mau sekali-sekali buat latihan karate lagi .",2,waktu sampai dengan gue pernah disuruh ibu latihan karate kata nya biar gue bisa melawan penjahat kalau ada iseng tapi di hari pertama latihan kaki gue langsung cedera jadilah sekarang trauma dan tidak mau buat latihan karate lagi,0.995985209941864,2,[0.0049 0.0011 0.9939],2,[0.0115 0.0026 0.9859],"{'karate': 'karate', 'biar': 'biar', 'latihan': 'latihan'}",0.7891,,,,
pelayanan di hotel salak bogor tidak sebagus yang gue membayangkan . fasilitas nya juga biasa banget padahal kata nya hotel bintang lima . hm . kecewa . kayak nya sih nanti-nanti tidak mau ke sana lagi .,2,pelayanan di hotel salak bogor tidak sebagus yang gue membayangkan fasilitas nya juga biasa banget padahal kata nya hotel bintang lima hum kecewa kayak nya sih tidak mau ke sana lagi,0.9817023277282715,2,[4.900e-03 3.000e-04 9.948e-01],2,[1.710e-02 5.000e-04 9.824e-01],"{'hm': 'hum', 'kecewa': 'kecewa', 'sih': 'sih'}",0.7377,,,,
ada apa dengan young lex ? kenapa dia harus mengirim hal-hal tidak berfaedah kayak gitu . merusak moral banget sumpah !,2,ada apa dengan young lex kenapa dia harus mengirim tidak berfaedah kayak gitu dommage moral banget sumpah,0.975628137588501,2,[6.00e-04 3.00e-04 9.99e-01],2,[1.300e-03 3.000e-04 9.984e-01],"{'sumpah': 'sumpah', 'merusak': 'dommage'}",0.6435,,,,
"gue pesimis sama manusia , terutama dalam ngurusin sampah . sudah berapa banyak hewan-hewan laut jadi korban gara-gara kita buang sampah ke laut . tidak tega gue liat nya . kadang tidak mengerti juga sebenarnya pemimpin-pemimpin yang ada itu pada mikirin enggak sih urusan penting kayak gini . he .",2,je pesimis sama manusia terutama dalam ngurusin sampah sudah berapa banyak laut jadi korban kita buang sampah ke laut tidak tega je liat nya kadang tidak mengerti juga sebenarnya yang ada itu pada mikirin enggak sih affaires penting kayak gini il,0.9774150252342224,2,[5.800e-03 3.000e-04 9.939e-01],2,[0.0212 0.001  0.9778],"{'he': 'il', 'pesimis': 'pesimis', 'urusan': 'affaires', 'gue': 'je'}",0.8423,,,,
saya kecewa karena pengeditan biodata penumpang dilakukan by sistem tanpa konfirmasi dan solusi permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan pelanggan yang sudah berkali-berkali dihubungi pun hanya seperti mengulur waktu . sampai detik ini belum ada solusi untuk masalah saya yang kesalahan nya sendiri bukan dari pihak saya .,2,saya kecewa karena pengeditan biodata penumpang dilakukan by sistem tanpa konfirmasi dan solusi permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan pelanggan yang sudah dihubungi pun hanya seperti mengulur waktu sampai detik ini belum ada solusi untuk masalah saya yang kesalahan nya sendiri bukan dari pihak saya,0.9977594614028931,2,[2.000e-03 7.000e-04 9.973e-01],2,[2.300e-03 9.000e-04 9.967e-01],"{'kecewa': 'kecewa', 'pengeditan': 'pengeditan', 'solusi': 'solusi', 'detik': 'detik'}",0.9237,,,,
"saya hari ini melakukan pemesanan dan tiket saya tidak kunjung saya terima . padahal saya sudah menelpon pelayanan pelanggan , sudah mengirimkan email dengan bukti transfer tapi respon nya sangat lambat dan tidak jelas .",2,saya hari ini melakukan pemesanan dan tiket saya tidak kunjung saya terima padahal saya sudah menelpon pelayanan pelanggan sudah mengirimkan email dengan bukti transfer tapi respon nya sangat lambat dan tidak jelas,1.0,2,[0.003  0.0042 0.9929],2,[0.0054 0.0096 0.985 ],"{'terima': 'terima', 'pemesanan': 'pemesanan'}",0.7642,,,,
