text,sentiment,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig,best_epoch
"kemarin gue datang ke tempat makan baru yang ada di dago atas . gue kira makanan nya enak karena harga nya mahal . ternyata , boro-boro . tidak mau lagi deh ke tempat itu . sudah mana tempat nya juga tidak nyaman banget , terlalu sempit .",2,kemarin je datang ke tempat makan baru yang ada di dago atas je kira makanan nya enak karena harga nya mahal ternyata tidak mau lagi deh ke tempat itu sudah mana tempat nya juga tidak nyaman très terlalu étroit,0.9857176542282104,2,[6.60e-03 4.00e-04 9.93e-01],2,[1.02e-02 8.00e-04 9.89e-01],"{'nyaman': 'nyaman', 'nya': 'nya', 'makan': 'makan', 'deh': 'deh', 'banget': 'très', 'harga': 'harga', 'kemarin': 'kemarin', 'makanan': 'makanan', 'sempit': 'étroit', 'gue': 'je', 'dago': 'dago'}",2,0,1.1498,0.934,0.898,0.9366079322695732,0.5697486,0.952,0.03600000000000003,-0.05399999999999994,0.356,9.0
"kayak nya sih gue tidak akan mau balik lagi ke tempat itu . gila , ya , gue enggak ngerti kenapa tempat nya dibiarkan panas . sudah begitu kotor pula . kalau panas kepanasan , kalau hujan kehujanan . harus nya sih tidak ada restoran yang kayak gitu . tidak tahu deh apa yang mereka jual .",2,kayak nya sih je tidak akan mau balik lagi ke tempat itu gila oui je enggak comprendre kenapa tempat nya dibiarkan chaud sudah begitu kotor pula kalau chaud kepanasan kalau hujan kehujanan harus nya sih tidak ada restoran yang kayak gitu tidak tahu deh apa yang mereka jual,0.9705345630645752,2,[2.800e-03 3.000e-04 9.969e-01],2,[4.200e-03 4.000e-04 9.954e-01],"{'gila': 'gila', 'sih': 'sih', 'panas': 'chaud', 'gue': 'je', 'kayak': 'kayak', 'dibiarkan': 'dibiarkan', 'nya': 'nya', 'ya': 'oui', 'kotor': 'kotor', 'jual': 'jual', 'gitu': 'gitu', 'ngerti': 'comprendre', 'hujan': 'hujan'}",2,0,0.8828,,,,,,,,,
"kalau dipikir-pikir , sebenarnya tidak ada yang bisa dibanggakan dari jokowi . pertama , dia tidak bisa nepatin janji . kedua , kerjaan nya selalu pencitraan . ketiga , dia tidak pro rakyat . sudahlah . ku sudah terlanjur kecewa .",2,kalau sebenarnya tidak ada yang bisa dibanggakan dari jokowi pertama dia tidak bisa nepatin janji kedua voyageur nya selalu pencitraan ketiga dia tidak pro personnes sudahlah ku sudah terlanjur kecewa,0.9621388912200928,2,[1.200e-03 4.000e-04 9.985e-01],2,[1.300e-03 3.000e-04 9.983e-01],"{'kecewa': 'kecewa', 'nya': 'nya', 'pro': 'pro', 'ku': 'ku', 'rakyat': 'personnes', 'jokowi': 'jokowi', 'ketiga': 'ketiga', 'dibanggakan': 'dibanggakan', 'janji': 'janji', 'kerjaan': 'voyageur'}",2,0,0.7477,,,,,,,,,
"ini pertama kalinya gua ke bank buat ngurusin pembuatan rekening baru . nama nya juga orang pertama kali ya baru ke bank , gua kena semprot . kelihatan banget pelayanan pelanggan - nya tidak suka gua banyak bertanya . amit-amit . padahal itu kan tugas mereka buat melayangkan gua !",2,ini pertama temps je ke banquet buat ngurusin pembuatan rekening baru nom nya juga orang pertama temps oui baru ke banquet je kena semprot kelihatan très pelayanan client nya tidak Comme je banyak bertanya padahal itu kan tugas mereka buat melayangkan je,0.8206654787063599,2,[9.000e-04 4.000e-04 9.987e-01],2,[0.0198 0.0182 0.962 ],"{'suka': 'Comme', 'pelayanan': 'pelayanan', 'kena': 'kena', 'gua': 'je', 'pelanggan': 'client', 'semprot': 'semprot', 'banget': 'très', 'nama': 'nom', 'bank': 'banquet', 'kali': 'temps', 'ya': 'oui', 'orang': 'orang', 'kalinya': 'temps', 'nya': 'nya', 'melayangkan': 'melayangkan'}",2,0,0.8197,,,,,,,,,
"waktu sampai dengan gue pernah disuruh ibu latihan karate . kata nya biar gue bisa melawan penjahat kalau ada laki-laki iseng , tapi di hari pertama latihan , kaki gue langsung cedera . jadilah sekarang trauma dan tidak mau sekali-sekali buat latihan karate lagi .",2,waktu sampai dengan je pernah disuruh ibu latihan karate kata nya biar je bisa melawan penjahat kalau ada iseng tapi di hari pertama latihan kaki je langsung cedera jadilah sekarang trauma dan tidak mau buat latihan karate lagi,0.9748862385749816,2,[1.000e-03 5.000e-04 9.985e-01],2,[1.100e-03 8.000e-04 9.981e-01],"{'trauma': 'trauma', 'karate': 'karate', 'latihan': 'latihan', 'disuruh': 'disuruh', 'kaki': 'kaki', 'iseng': 'iseng', 'penjahat': 'penjahat', 'langsung': 'langsung', 'nya': 'nya', 'cedera': 'cedera', 'gue': 'je'}",2,2,0.7944,,,,,,,,,
pelayanan di hotel salak bogor tidak sebagus yang gue membayangkan . fasilitas nya juga biasa banget padahal kata nya hotel bintang lima . hm . kecewa . kayak nya sih nanti-nanti tidak mau ke sana lagi .,2,pelayanan di hotel salak Bogor tidak sebagus yang gue membayangkan fasilitas nya juga biasa banget padahal kata nya hotel bintang lima hum kecewa kayak nya sih tidak mau ke sana lagi,0.9817023277282716,2,[7.40e-03 6.00e-04 9.92e-01],2,[4.700e-03 4.000e-04 9.949e-01],"{'kayak': 'kayak', 'sih': 'sih', 'kecewa': 'kecewa', 'bogor': 'Bogor', 'hotel': 'hotel', 'salak': 'salak', 'fasilitas': 'fasilitas', 'hm': 'hum', 'nya': 'nya', 'pelayanan': 'pelayanan', 'sebagus': 'sebagus', 'membayangkan': 'membayangkan'}",2,0,0.7405,,,,,,,,,
ada apa dengan young lex ? kenapa dia harus mengirim hal-hal tidak berfaedah kayak gitu . merusak moral banget sumpah !,2,ada apa dengan young lex kenapa dia harus envoyer tidak berfaedah kayak gitu dommage moral très sumpah,0.9306813478469848,2,[5.00e-04 6.00e-04 9.99e-01],2,[4.000e-04 6.000e-04 9.989e-01],"{'berfaedah': 'berfaedah', 'young': 'young', 'banget': 'très', 'lex': 'lex', 'kayak': 'kayak', 'merusak': 'dommage', 'mengirim': 'envoyer', 'gitu': 'gitu'}",2,2,0.6687,,,,,,,,,
"gue pesimis sama manusia , terutama dalam ngurusin sampah . sudah berapa banyak hewan-hewan laut jadi korban gara-gara kita buang sampah ke laut . tidak tega gue liat nya . kadang tidak mengerti juga sebenarnya pemimpin-pemimpin yang ada itu pada mikirin enggak sih urusan penting kayak gini . he .",2,je pesimis sama manusia terutama dalam ngurusin déchets sudah berapa banyak mer jadi victime kita buang déchets ke mer tidak tega je argile nya kadang tidak mengerti juga sebenarnya yang ada itu pada mikirin enggak sih affaires penting kayak gini il,0.9004933834075928,2,[1.800e-03 3.000e-04 9.979e-01],2,[8.000e-04 4.000e-04 9.987e-01],"{'pesimis': 'pesimis', 'sampah': 'déchets', 'manusia': 'manusia', 'gini': 'gini', 'mengerti': 'mengerti', 'gue': 'je', 'nya': 'nya', 'liat': 'argile', 'laut': 'mer', 'tega': 'tega', 'korban': 'victime', 'buang': 'buang', 'he': 'il', 'urusan': 'affaires', 'kayak': 'kayak'}",2,0,0.8044,,,,,,,,,
saya kecewa karena pengeditan biodata penumpang dilakukan by sistem tanpa konfirmasi dan solusi permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan pelanggan yang sudah berkali-berkali dihubungi pun hanya seperti mengulur waktu . sampai detik ini belum ada solusi untuk masalah saya yang kesalahan nya sendiri bukan dari pihak saya .,2,saya kecewa karena pengeditan biodata penumpang dilakukan par sistem tanpa confirmation dan solusi permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan client yang sudah dihubungi pun hanya seperti paralysant waktu sampai detik ini belum ada solusi untuk masalah saya yang Erreur nya sendiri bukan dari pihak saya,0.9629664421081544,2,[1.400e-03 7.000e-04 9.979e-01],2,[1.400e-03 9.000e-04 9.977e-01],"{'kecewa': 'kecewa', 'solusi': 'solusi', 'konfirmasi': 'confirmation', 'nya': 'nya', 'permasalahan': 'permasalahan', 'kesalahan': 'Erreur', 'detik': 'detik', 'pelanggan': 'client', 'mengulur': 'paralysant', 'dianggap': 'dianggap', 'pelayanan': 'pelayanan', 'dibiarkan': 'dibiarkan', 'by': 'par', 'pengeditan': 'pengeditan'}",2,0,0.8991,,,,,,,,,
"saya hari ini melakukan pemesanan dan tiket saya tidak kunjung saya terima . padahal saya sudah menelpon pelayanan pelanggan , sudah mengirimkan email dengan bukti transfer tapi respon nya sangat lambat dan tidak jelas .",2,saya hari ini melakukan pemesanan dan tiket saya tidak kunjung saya terima padahal saya sudah menelpon pelayanan client sudah mengirimkan email dengan bukti transfer tapi réponse nya sangat prêté dan tidak jelas,0.9648318886756896,2,[7.000e-04 1.200e-03 9.981e-01],2,[0.0011 0.0067 0.9922],"{'lambat': 'prêté', 'respon': 'réponse', 'terima': 'terima', 'nya': 'nya', 'pemesanan': 'pemesanan', 'kunjung': 'kunjung', 'menelpon': 'menelpon', 'email': 'email', 'transfer': 'transfer', 'pelayanan': 'pelayanan', 'pelanggan': 'client'}",2,0,0.7224,,,,,,,,,
